Metric,Value
design__instance__count__class:antenna_cell,12
design__instance__area__class:antenna_cell,52.6848
route__net,24861
route__net__special,2
route__drc_errors__iter:0,96
route__wirelength__iter:0,1237315
route__drc_errors__iter:1,14
route__wirelength__iter:1,1237255
route__drc_errors__iter:2,12
route__wirelength__iter:2,1237251
route__drc_errors__iter:3,0
route__wirelength__iter:3,1237211
route__drc_errors__iter:4,8
route__wirelength__iter:4,1237139
route__drc_errors__iter:5,8
route__wirelength__iter:5,1237139
route__drc_errors__iter:6,0
route__wirelength__iter:6,1237184
route__drc_errors,0
route__wirelength,1237211
route__vias,167367
route__vias__singlecut,167367
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1585.89
design__instance__count__class:fill_cell,36716
design__instance__area__class:fill_cell,421239
timing__unannotated_net__count__corner:nom_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,0
design__max_fanout_violation__count__corner:min_tt_025C_5v00,162
design__max_cap_violation__count__corner:min_tt_025C_5v00,5
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.3490754173411734
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.3531359471462771
timing__hold__ws__corner:min_tt_025C_5v00,0.7082485909326529
timing__setup__ws__corner:min_tt_025C_5v00,109.32975012542745
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.708249
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,129.482910
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,894
design__max_fanout_violation__count__corner:min_ss_125C_4v50,162
design__max_cap_violation__count__corner:min_ss_125C_4v50,5
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.4146920424429393
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.4283928610881141
timing__hold__ws__corner:min_ss_125C_4v50,1.525138725146408
timing__setup__ws__corner:min_ss_125C_4v50,68.96232402548229
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,0.0
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,0.0
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.525139
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,0
timing__setup_r2r__ws__corner:min_ss_125C_4v50,68.962326
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__unannotated_net__count__corner:min_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,162
design__max_cap_violation__count__corner:min_ff_n40C_5v50,5
clock__skew__worst_hold__corner:min_ff_n40C_5v50,-0.3201443367688446
clock__skew__worst_setup__corner:min_ff_n40C_5v50,0.32566514295953713
timing__hold__ws__corner:min_ff_n40C_5v50,0.33789128007497116
timing__setup__ws__corner:min_ff_n40C_5v50,113.38542869986551
timing__hold__tns__corner:min_ff_n40C_5v50,0.0
timing__setup__tns__corner:min_ff_n40C_5v50,0.0
timing__hold__wns__corner:min_ff_n40C_5v50,0
timing__setup__wns__corner:min_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:min_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:min_ff_n40C_5v50,0.337891
timing__hold_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_vio__count__corner:min_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:min_ff_n40C_5v50,188.359070
timing__setup_r2r_vio__count__corner:min_ff_n40C_5v50,0
timing__unannotated_net__count__corner:min_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:min_ff_n40C_5v50,0
design__max_slew_violation__count__corner:max_tt_025C_5v00,11
design__max_fanout_violation__count__corner:max_tt_025C_5v00,162
design__max_cap_violation__count__corner:max_tt_025C_5v00,9
clock__skew__worst_hold__corner:max_tt_025C_5v00,-0.3879068009932944
clock__skew__worst_setup__corner:max_tt_025C_5v00,0.38772472441210637
timing__hold__ws__corner:max_tt_025C_5v00,0.7186846876592823
timing__setup__ws__corner:max_tt_025C_5v00,108.92103882683173
timing__hold__tns__corner:max_tt_025C_5v00,0.0
timing__setup__tns__corner:max_tt_025C_5v00,0.0
timing__hold__wns__corner:max_tt_025C_5v00,0
timing__setup__wns__corner:max_tt_025C_5v00,0.0
timing__hold_vio__count__corner:max_tt_025C_5v00,0
timing__hold_r2r__ws__corner:max_tt_025C_5v00,0.718685
timing__hold_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__setup_vio__count__corner:max_tt_025C_5v00,0
timing__setup_r2r__ws__corner:max_tt_025C_5v00,125.737762
timing__setup_r2r_vio__count__corner:max_tt_025C_5v00,0
timing__unannotated_net__count__corner:max_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:max_tt_025C_5v00,0
design__max_slew_violation__count__corner:max_ss_125C_4v50,3163
design__max_fanout_violation__count__corner:max_ss_125C_4v50,162
design__max_cap_violation__count__corner:max_ss_125C_4v50,11
clock__skew__worst_hold__corner:max_ss_125C_4v50,-0.47023630764680563
clock__skew__worst_setup__corner:max_ss_125C_4v50,0.476776187580623
timing__hold__ws__corner:max_ss_125C_4v50,1.5433543768712115
timing__setup__ws__corner:max_ss_125C_4v50,62.5055793704569
timing__hold__tns__corner:max_ss_125C_4v50,0.0
timing__setup__tns__corner:max_ss_125C_4v50,0.0
timing__hold__wns__corner:max_ss_125C_4v50,0
timing__setup__wns__corner:max_ss_125C_4v50,0.0
timing__hold_vio__count__corner:max_ss_125C_4v50,0
timing__hold_r2r__ws__corner:max_ss_125C_4v50,1.543354
timing__hold_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__setup_vio__count__corner:max_ss_125C_4v50,0
timing__setup_r2r__ws__corner:max_ss_125C_4v50,62.505581
timing__setup_r2r_vio__count__corner:max_ss_125C_4v50,0
timing__unannotated_net__count__corner:max_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:max_ss_125C_4v50,0
design__max_slew_violation__count__corner:max_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:max_ff_n40C_5v50,162
design__max_cap_violation__count__corner:max_ff_n40C_5v50,9
clock__skew__worst_hold__corner:max_ff_n40C_5v50,-0.34990020204949396
clock__skew__worst_setup__corner:max_ff_n40C_5v50,0.35427980996089903
timing__hold__ws__corner:max_ff_n40C_5v50,0.33020898061650467
timing__setup__ws__corner:max_ff_n40C_5v50,113.12545531635307
timing__hold__tns__corner:max_ff_n40C_5v50,0.0
timing__setup__tns__corner:max_ff_n40C_5v50,0.0
timing__hold__wns__corner:max_ff_n40C_5v50,0
timing__setup__wns__corner:max_ff_n40C_5v50,0.0
timing__hold_vio__count__corner:max_ff_n40C_5v50,0
timing__hold_r2r__ws__corner:max_ff_n40C_5v50,0.345883
timing__hold_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_vio__count__corner:max_ff_n40C_5v50,0
timing__setup_r2r__ws__corner:max_ff_n40C_5v50,187.522797
timing__setup_r2r_vio__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count__corner:max_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:max_ff_n40C_5v50,0
timing__unannotated_net__count,164
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VDD__corner:nom_tt_025C_5v00,4.99994
design_powergrid__drop__average__net:VDD__corner:nom_tt_025C_5v00,4.99999
design_powergrid__drop__worst__net:VDD__corner:nom_tt_025C_5v00,0.0000574966
design_powergrid__voltage__worst__net:VSS__corner:nom_tt_025C_5v00,0.0000413451
design_powergrid__drop__average__net:VSS__corner:nom_tt_025C_5v00,0.00000955297
design_powergrid__drop__worst__net:VSS__corner:nom_tt_025C_5v00,0.0000413451
design_powergrid__voltage__worst,0.0000413451
design_powergrid__voltage__worst__net:VDD,4.99994
design_powergrid__drop__worst,0.0000574966
design_powergrid__drop__worst__net:VDD,0.0000574966
design_powergrid__voltage__worst__net:VSS,0.0000413451
design_powergrid__drop__worst__net:VSS,0.0000413451
ir__voltage__worst,5
ir__drop__avg,0.000009739999999999999919235611767209803701916825957596302032470703125
ir__drop__worst,0.000057500000000000001739060284666749112147954292595386505126953125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
