Metric,Value
route__antenna_violation__count,0
antenna_diodes_count,11
design__instance__count__class:antenna_cell,15
design__instance__area__class:antenna_cell,65.856
route__net,24855
route__net__special,2
route__drc_errors__iter:0,183
route__wirelength__iter:0,1237311
route__drc_errors__iter:1,23
route__wirelength__iter:1,1237256
route__drc_errors__iter:2,16
route__wirelength__iter:2,1237254
route__drc_errors__iter:3,0
route__wirelength__iter:3,1237197
route__drc_errors__iter:4,4
route__wirelength__iter:4,1237137
route__drc_errors__iter:5,2
route__wirelength__iter:5,1237123
route__drc_errors__iter:6,2
route__wirelength__iter:6,1237123
route__drc_errors__iter:7,0
route__wirelength__iter:7,1237136
route__drc_errors,0
route__wirelength,1237197
route__vias,167102
route__vias__singlecut,167102
route__vias__multicut,0
flow__warnings__count:DRT-0349,8
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1584.87
design__instance__count__class:fill_cell,36747
design__instance__area__class:fill_cell,421641
timing__unannotated_net__count__corner:nom_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:nom_tt_025C_5v00,0
timing__unannotated_net__count__corner:nom_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:nom_ss_125C_4v50,0
timing__unannotated_net__count__corner:nom_ff_n40C_5v50,164
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_5v50,0
design__max_slew_violation__count__corner:min_tt_025C_5v00,8
design__max_fanout_violation__count__corner:min_tt_025C_5v00,162
design__max_cap_violation__count__corner:min_tt_025C_5v00,5
clock__skew__worst_hold__corner:min_tt_025C_5v00,-0.3432569603491607
clock__skew__worst_setup__corner:min_tt_025C_5v00,0.34887591025800585
timing__hold__ws__corner:min_tt_025C_5v00,0.7035188186693777
timing__setup__ws__corner:min_tt_025C_5v00,50.01118949409245
timing__hold__tns__corner:min_tt_025C_5v00,0.0
timing__setup__tns__corner:min_tt_025C_5v00,0.0
timing__hold__wns__corner:min_tt_025C_5v00,0
timing__setup__wns__corner:min_tt_025C_5v00,0.0
timing__hold_vio__count__corner:min_tt_025C_5v00,0
timing__hold_r2r__ws__corner:min_tt_025C_5v00,0.703519
timing__hold_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__setup_vio__count__corner:min_tt_025C_5v00,0
timing__setup_r2r__ws__corner:min_tt_025C_5v00,50.011189
timing__setup_r2r_vio__count__corner:min_tt_025C_5v00,0
timing__unannotated_net__count__corner:min_tt_025C_5v00,164
timing__unannotated_net_filtered__count__corner:min_tt_025C_5v00,0
design__max_slew_violation__count__corner:min_ss_125C_4v50,796
design__max_fanout_violation__count__corner:min_ss_125C_4v50,162
design__max_cap_violation__count__corner:min_ss_125C_4v50,5
clock__skew__worst_hold__corner:min_ss_125C_4v50,-0.4030635661541396
clock__skew__worst_setup__corner:min_ss_125C_4v50,0.41726509539758144
timing__hold__ws__corner:min_ss_125C_4v50,1.5169284036024961
timing__setup__ws__corner:min_ss_125C_4v50,-0.8514007517764401
timing__hold__tns__corner:min_ss_125C_4v50,0.0
timing__setup__tns__corner:min_ss_125C_4v50,-7.327720859725648
timing__hold__wns__corner:min_ss_125C_4v50,0
timing__setup__wns__corner:min_ss_125C_4v50,-0.8514007517764401
timing__hold_vio__count__corner:min_ss_125C_4v50,0
timing__hold_r2r__ws__corner:min_ss_125C_4v50,1.516928
timing__hold_r2r_vio__count__corner:min_ss_125C_4v50,0
timing__setup_vio__count__corner:min_ss_125C_4v50,13
timing__setup_r2r__ws__corner:min_ss_125C_4v50,-0.851401
timing__setup_r2r_vio__count__corner:min_ss_125C_4v50,13
timing__unannotated_net__count__corner:min_ss_125C_4v50,164
timing__unannotated_net_filtered__count__corner:min_ss_125C_4v50,0
design__max_slew_violation__count__corner:min_ff_n40C_5v50,0
design__max_fanout_violation__count__corner:min_ff_n40C_5v50,162
design__max_cap_violation__count__corner:min_ff_n40C_5v50,5
